subject,body,label,pred,reason
Urgent: verify your account,Your account will be suspended unless you click this link: http://fake-bank.com,PHISHING,LEGÍTIMO,
Team meeting tomorrow,Please bring your laptop for the presentation.,LEGÍTIMO,LEGÍTIMO,
Password reset required,We detected unusual activity. Reset your password here: http://reset-now.example,PHISHING,LEGÍTIMO,
Factura adjunta - Julio,Adjunto encontrarás tu factura mensual. Saludos.,LEGÍTIMO,LEGÍTIMO,
Confirm your payment,Your payment failed. Confirm your payment details at http://pay-secure.example,PHISHING,LEGÍTIMO,
Evento de la oficina,Recordatorio: el almuerzo de equipo es este viernes a las 12:30.,LEGÍTIMO,LEGÍTIMO,
Invoice overdue,Your invoice is overdue. Pay now: http://pay-invoice.example,PHISHING,LEGÍTIMO,
Entrega de proyecto,El proyecto fue entregado correctamente. Revisa el reporte adjunto.,LEGÍTIMO,LEGÍTIMO,
Update your tax info,We need you to update your tax information immediately: http://tax-update.example,PHISHING,LEGÍTIMO,
Reserva confirmada,Su reserva para la sala A ha sido confirmada. Gracias.,LEGÍTIMO,LEGÍTIMO,
Security alert,Login from a new device detected. If this wasn't you click: http://secure-check.example,PHISHING,LEGÍTIMO,
Horario de reuniones,Adjunto el horario de reuniones de la semana que viene.,LEGÍTIMO,LEGÍTIMO,
Reembolso pendiente,Se ha iniciado un reembolso. Haga clic aquí para reclamarlo: http://refund.example,PHISHING,LEGÍTIMO,
Reporte trimestral,El reporte trimestral ya está listo para revisión.,LEGÍTIMO,LEGÍTIMO,
Activa tu cuenta ahora,Activa tu cuenta en 24 horas o será eliminada: http://activate.example,PHISHING,LEGÍTIMO,
Comunicado RRHH,Nuevas políticas de vacaciones publicadas en la intranet.,LEGÍTIMO,LEGÍTIMO,
Unusual login attempt,We noticed multiple failed logins. Verify identity: http://verify.example,PHISHING,LEGÍTIMO,
Capacitación disponible,Nueva capacitación obligatoria disponible en la plataforma.,LEGÍTIMO,LEGÍTIMO,
Prize Winner!,"Congratulations, you won a prize! Click to claim: http://claim-prize.example",PHISHING,LEGÍTIMO,
Factura electrónica,Adjunto la factura electrónica del proveedor X.,LEGÍTIMO,LEGÍTIMO,
Action required: billing,Your billing information must be updated here: http://billing-update.example,PHISHING,LEGÍTIMO,
Reunión con cliente,La reunión con el cliente se mantiene para el martes 9:00 AM.,LEGÍTIMO,LEGÍTIMO,
Account suspended,Your account has been suspended. Provide details to restore: http://restore-account.example,PHISHING,LEGÍTIMO,
Comprobante de pago,"Adjunto comprobante de pago. Confirma recepción, por favor.",LEGÍTIMO,LEGÍTIMO,
Confirm bank transfer,Please confirm this transfer immediately: http://confirm-transfer.example,PHISHING,LEGÍTIMO,
Notas del sprint,Compartidas las notas del sprint y tareas asignadas.,LEGÍTIMO,LEGÍTIMO,
Verify your identity,"To continue using the service, verify your identity: http://id-verify.example",PHISHING,LEGÍTIMO,
Newsletter - Octubre,Aquí tienes nuestro newsletter mensual con novedades.,LEGÍTIMO,LEGÍTIMO,
Action required: security,We detected suspicious activity. Click to secure your account: http://secure-now.example,PHISHING,LEGÍTIMO,
Solicitud de vacaciones,Tu solicitud de vacaciones fue aprobada. Felicidades.,LEGÍTIMO,LEGÍTIMO,
Limited time offer,Exclusive offer just for you! Claim now: http://exclusive-offer.example,PHISHING,LEGÍTIMO,
Actualización de sistema,El sistema se actualizará este fin de semana. No habrá acceso.,LEGÍTIMO,LEGÍTIMO,
Verify payment details,Your payment details need verification: http://verify-payment.example,PHISHING,LEGÍTIMO,
Informe de gastos,Adjunto el informe de gastos del mes pasado para su revisión.,LEGÍTIMO,LEGÍTIMO,
Urgent: security update,Immediate action required to update your security settings: http://security-update.example,PHISHING,LEGÍTIMO,
Plan de proyecto,El plan de proyecto ha sido revisado y aprobado.,LEGÍTIMO,LEGÍTIMO,
Reset your password,Click here to reset your password immediately: http://reset-password.example,PHISHING,LEGÍTIMO,
Acta de reunión,Adjunto el acta de la reunión del día lunes.,LEGÍTIMO,LEGÍTIMO,
Verify your email,Please verify your email address to continue: http://verify-email.example,PHISHING,LEGÍTIMO,
Capacitación completada,Has completado la capacitación obligatoria. Buen trabajo.,LEGÍTIMO,LEGÍTIMO,
Important: update info,Your account information is outdated. Update now: http://update-info.example,PHISHING,LEGÍTIMO,
Política de privacidad,Hemos actualizado nuestra política de privacidad. Léela aquí.,LEGÍTIMO,LEGÍTIMO,
Claim your reward,You have a reward waiting! Claim it here: http://claim-reward.example,PHISHING,LEGÍTIMO,
Agenda semanal,Adjunto la agenda semanal con las tareas asignadas.,LEGÍTIMO,LEGÍTIMO,
Security notice,Important security notice regarding your account: http://security-notice.example,PHISHING,LEGÍTIMO,
Informe de ventas,El informe de ventas del último trimestre está listo para revisión.,LEGÍTIMO,LEGÍTIMO,
Update payment method,Your payment method needs to be updated: http://update-payment.example,PHISHING,LEGÍTIMO,
Recordatorio de cita,Te recordamos tu cita con el doctor el próximo miércoles a las 10 AM.,LEGÍTIMO,LEGÍTIMO,
Final notice,This is your final notice to update your information: http://final-notice.example,PHISHING,LEGÍTIMO,
Nuevo empleado,Damos la bienvenida a nuestro nuevo empleado al equipo.,LEGÍTIMO,LEGÍTIMO,
