subject,body,label
"Urgent: verify your account","Your account will be suspended unless you click this link: http://fake-bank.com",PHISHING
"Team meeting tomorrow","Please bring your laptop for the presentation.",LEGÍTIMO
"Password reset required","We detected unusual activity. Reset your password here: http://reset-now.example",PHISHING
"Factura adjunta - Julio","Adjunto encontrarás tu factura mensual. Saludos.",LEGÍTIMO
"Confirm your payment","Your payment failed. Confirm your payment details at http://pay-secure.example",PHISHING
"Evento de la oficina","Recordatorio: el almuerzo de equipo es este viernes a las 12:30.",LEGÍTIMO
"Invoice overdue","Your invoice is overdue. Pay now: http://pay-invoice.example",PHISHING
"Entrega de proyecto","El proyecto fue entregado correctamente. Revisa el reporte adjunto.",LEGÍTIMO
"Update your tax info","We need you to update your tax information immediately: http://tax-update.example",PHISHING
"Reserva confirmada","Su reserva para la sala A ha sido confirmada. Gracias.",LEGÍTIMO
"Security alert","Login from a new device detected. If this wasn't you click: http://secure-check.example",PHISHING
"Horario de reuniones","Adjunto el horario de reuniones de la semana que viene.",LEGÍTIMO
"Reembolso pendiente","Se ha iniciado un reembolso. Haga clic aquí para reclamarlo: http://refund.example",PHISHING
"Reporte trimestral","El reporte trimestral ya está listo para revisión.",LEGÍTIMO
"Activa tu cuenta ahora","Activa tu cuenta en 24 horas o será eliminada: http://activate.example",PHISHING
"Comunicado RRHH","Nuevas políticas de vacaciones publicadas en la intranet.",LEGÍTIMO
"Unusual login attempt","We noticed multiple failed logins. Verify identity: http://verify.example",PHISHING
"Capacitación disponible","Nueva capacitación obligatoria disponible en la plataforma.",LEGÍTIMO
"Prize Winner!","Congratulations, you won a prize! Click to claim: http://claim-prize.example",PHISHING
"Factura electrónica","Adjunto la factura electrónica del proveedor X.",LEGÍTIMO
"Action required: billing","Your billing information must be updated here: http://billing-update.example",PHISHING
"Reunión con cliente","La reunión con el cliente se mantiene para el martes 9:00 AM.",LEGÍTIMO
"Account suspended","Your account has been suspended. Provide details to restore: http://restore-account.example",PHISHING
"Comprobante de pago","Adjunto comprobante de pago. Confirma recepción, por favor.",LEGÍTIMO
"Confirm bank transfer","Please confirm this transfer immediately: http://confirm-transfer.example",PHISHING
"Notas del sprint","Compartidas las notas del sprint y tareas asignadas.",LEGÍTIMO
"Verify your identity","To continue using the service, verify your identity: http://id-verify.example",PHISHING
"Newsletter - Octubre","Aquí tienes nuestro newsletter mensual con novedades.",LEGÍTIMO
"Action required: security","We detected suspicious activity. Click to secure your account: http://secure-now.example",PHISHING
"Solicitud de vacaciones","Tu solicitud de vacaciones fue aprobada. Felicidades.",LEGÍTIMO
"Limited time offer","Exclusive offer just for you! Claim now: http://exclusive-offer.example",PHISHING
"Actualización de sistema","El sistema se actualizará este fin de semana. No habrá acceso.",LEGÍTIMO
"Verify payment details","Your payment details need verification: http://verify-payment.example",PHISHING
"Informe de gastos","Adjunto el informe de gastos del mes pasado para su revisión.",LEGÍTIMO
"Urgent: security update","Immediate action required to update your security settings: http://security-update.example",PHISHING
"Plan de proyecto","El plan de proyecto ha sido revisado y aprobado.",LEGÍTIMO
"Reset your password","Click here to reset your password immediately: http://reset-password.example",PHISHING
"Acta de reunión","Adjunto el acta de la reunión del día lunes.",LEGÍTIMO
"Verify your email","Please verify your email address to continue: http://verify-email.example",PHISHING
"Capacitación completada","Has completado la capacitación obligatoria. Buen trabajo.",LEGÍTIMO
"Important: update info","Your account information is outdated. Update now: http://update-info.example",PHISHING
"Política de privacidad","Hemos actualizado nuestra política de privacidad. Léela aquí.",LEGÍTIMO
"Claim your reward","You have a reward waiting! Claim it here: http://claim-reward.example",PHISHING
"Agenda semanal","Adjunto la agenda semanal con las tareas asignadas.",LEGÍTIMO
"Security notice","Important security notice regarding your account: http://security-notice.example",PHISHING
"Informe de ventas","El informe de ventas del último trimestre está listo para revisión.",LEGÍTIMO
"Update payment method","Your payment method needs to be updated: http://update-payment.example",PHISHING
"Recordatorio de cita","Te recordamos tu cita con el doctor el próximo miércoles a las 10 AM.",LEGÍTIMO
"Final notice","This is your final notice to update your information: http://final-notice.example",PHISHING
"Nuevo empleado","Damos la bienvenida a nuestro nuevo empleado al equipo.",LEGÍTIMO
